date,open,high,low,close
2026-04-29 09:15:00+05:30,204.3,263.85,204.3,244.9
2026-04-29 09:20:00+05:30,248.5,257.25,234.1,242.05
2026-04-29 09:25:00+05:30,242.1,267,237,266.1
2026-04-29 09:30:00+05:30,265.6,275,249.7,255.4
2026-04-29 09:35:00+05:30,254.95,263.7,249.2,259.45
2026-04-29 09:40:00+05:30,259.8,282.7,258.15,280.35
2026-04-29 09:45:00+05:30,282.05,299.9,282.05,298.3
2026-04-29 09:50:00+05:30,298.75,312.8,293.4,310
2026-04-29 09:55:00+05:30,309.4,315.6,303.7,310.05
2026-04-29 10:00:00+05:30,311.05,353.2,311.05,341.95
2026-04-29 10:05:00+05:30,342.15,356.55,336,352.6
2026-04-29 10:10:00+05:30,351.55,373.75,348.4,370.7
2026-04-29 10:15:00+05:30,372.65,388.15,366.75,383.65
2026-04-29 10:20:00+05:30,380.6,412.45,380.6,403.95
2026-04-29 10:25:00+05:30,404.55,418.55,399,411.6
2026-04-29 10:30:00+05:30,411,411,393,405
2026-04-29 10:35:00+05:30,404.5,413,395.95,398.6
2026-04-29 10:40:00+05:30,398.45,405,392.5,397
2026-04-29 10:45:00+05:30,395.4,399,386,398
2026-04-29 10:50:00+05:30,398.3,409,394.25,406.7
2026-04-29 10:55:00+05:30,403.75,411.45,400.65,409.8
2026-04-29 11:00:00+05:30,409,419.35,401.3,402.3
2026-04-29 11:05:00+05:30,401.75,417.95,397.25,414.2
2026-04-29 11:10:00+05:30,413.4,415.4,404.05,410.5
2026-04-29 11:15:00+05:30,410.9,414.9,395.95,402.9
2026-04-29 11:20:00+05:30,403.6,418.95,400.2,403.3
2026-04-29 11:25:00+05:30,402.75,412.7,393.5,396.45
2026-04-29 11:30:00+05:30,396.6,411.05,395.25,407.65
2026-04-29 11:35:00+05:30,407.4,408.95,400,403.25
2026-04-29 11:40:00+05:30,403.25,411,397,399.45
2026-04-29 11:45:00+05:30,399.05,401.4,391.75,393.8
2026-04-29 11:50:00+05:30,394.7,400,390,394.3
2026-04-29 11:55:00+05:30,394.3,401,392.1,399.6
2026-04-29 12:00:00+05:30,399.3,407.95,393.25,393.25
2026-04-29 12:05:00+05:30,393.1,411.35,388.05,411.35
2026-04-29 12:10:00+05:30,411.45,437,411.45,418.15
2026-04-29 12:15:00+05:30,418,427.4,417.75,424.75
2026-04-29 12:20:00+05:30,423.8,431.55,415.85,431.55
2026-04-29 12:25:00+05:30,433,434.8,422,426.6
2026-04-29 12:30:00+05:30,425.8,445.9,423.5,443.6
2026-04-29 12:35:00+05:30,444.05,449,439.1,444.3
2026-04-29 12:40:00+05:30,441.7,443.5,431,436.95
2026-04-29 12:45:00+05:30,438.1,440.05,427.95,431.6
2026-04-29 12:50:00+05:30,431.6,441.95,424.2,431.15
2026-04-29 12:55:00+05:30,430.15,434.85,427.5,430.55
2026-04-29 13:00:00+05:30,430.8,434.95,425,431.2
2026-04-29 13:05:00+05:30,430.3,448.8,426.6,427.2
2026-04-29 13:10:00+05:30,427.1,437.6,422.1,425.05
2026-04-29 13:15:00+05:30,425.05,430.85,417.45,430.5
2026-04-29 13:20:00+05:30,431.7,433.4,415,417.85
2026-04-29 13:25:00+05:30,418.85,425.5,413.15,416.9
2026-04-29 13:30:00+05:30,417.3,428.4,416.75,421.45
2026-04-29 13:35:00+05:30,421.45,424,392.8,399
2026-04-29 13:40:00+05:30,398.3,398.3,381.35,384.95
2026-04-29 13:45:00+05:30,385.65,387,369.05,377.2
2026-04-29 13:50:00+05:30,377.7,391.25,373.5,380.75
2026-04-29 13:55:00+05:30,382,389.15,370,370
2026-04-29 14:00:00+05:30,369.05,376.5,325.5,325.95
2026-04-29 14:05:00+05:30,328.3,340.5,324.15,330.15
2026-04-29 14:10:00+05:30,330.35,338.05,321.6,334
2026-04-29 14:15:00+05:30,332.4,336.8,316.4,316.4
2026-04-29 14:20:00+05:30,317.5,334.8,313.3,330.4
2026-04-29 14:25:00+05:30,331.75,332.5,315.4,315.5
2026-04-29 14:30:00+05:30,313.2,331.3,313.2,329.85
2026-04-29 14:35:00+05:30,328.25,330,320.1,330
2026-04-29 14:40:00+05:30,329.7,346.05,328.8,344.05
2026-04-29 14:45:00+05:30,343.9,344.8,326.9,333.2
2026-04-29 14:50:00+05:30,333.05,333.05,321.8,329.4
2026-04-29 14:55:00+05:30,329.25,329.35,308,310.55
2026-04-29 15:00:00+05:30,309.2,329.45,308.5,316.9
2026-04-29 15:05:00+05:30,317.6,326.7,316,319.4
2026-04-29 15:10:00+05:30,319.3,319.3,302.1,304.25
2026-04-29 15:15:00+05:30,305,309.4,299.55,306.55
2026-04-29 15:20:00+05:30,306,306.7,296.7,300.55
2026-04-29 15:25:00+05:30,298.75,301,282,286.7
2026-04-30 09:15:00+05:30,205.95,205.95,153.4,156.05
2026-04-30 09:20:00+05:30,155,155,133,135
2026-04-30 09:25:00+05:30,134.2,136.2,127.8,129.4
2026-04-30 09:30:00+05:30,127.9,141.75,125.5,141.5
2026-04-30 09:35:00+05:30,140.3,143.6,133.45,139.6
2026-04-30 09:40:00+05:30,136.85,152.8,133.45,152.3
2026-04-30 09:45:00+05:30,152.6,157.05,141.9,144.45
2026-04-30 09:50:00+05:30,145.35,145.35,134.5,135
2026-04-30 09:55:00+05:30,134.2,137.3,127.55,128.5
2026-04-30 10:00:00+05:30,128.3,128.3,117,118.3
2026-04-30 10:05:00+05:30,117.4,121.1,115.4,116.9
2026-04-30 10:10:00+05:30,116.35,118.2,115.15,117.7
2026-04-30 10:15:00+05:30,117.85,118.55,108.35,117.35
2026-04-30 10:20:00+05:30,117.3,119,113,115.35
2026-04-30 10:25:00+05:30,114.85,116.95,113.45,115.15
2026-04-30 10:30:00+05:30,114.8,118.55,114.7,118.15
2026-04-30 10:35:00+05:30,118.3,122.95,117.4,122.15
2026-04-30 10:40:00+05:30,122.1,122.8,116.6,119.6
2026-04-30 10:45:00+05:30,120,120.25,114,114.6
2026-04-30 10:50:00+05:30,114.75,115.85,111.3,112.25
2026-04-30 10:55:00+05:30,112.45,114.7,110.2,114.3
2026-04-30 11:00:00+05:30,114.05,117.45,114.05,114.4
2026-04-30 11:05:00+05:30,114.4,116.8,112.8,115.45
2026-04-30 11:10:00+05:30,115.55,115.55,110.2,110.45
2026-04-30 11:15:00+05:30,110.2,114.35,109.6,111.9
2026-04-30 11:20:00+05:30,111.4,112.9,109.8,110.7
2026-04-30 11:25:00+05:30,110.8,117.7,110.75,117.7
2026-04-30 11:30:00+05:30,116.9,122.35,116,121.2
2026-04-30 11:35:00+05:30,121.35,125.5,119,122.5
2026-04-30 11:40:00+05:30,123.05,125.1,118.45,120.8
2026-04-30 11:45:00+05:30,120.1,123,119.6,121.7
2026-04-30 11:50:00+05:30,121.6,123.1,116,119.45
2026-04-30 11:55:00+05:30,119.5,123,118.55,121.1
2026-04-30 12:00:00+05:30,121,124.45,117.75,123.15
2026-04-30 12:05:00+05:30,122.15,130.5,122.15,128.4
2026-04-30 12:10:00+05:30,128.45,141.45,125.25,141.45
2026-04-30 12:15:00+05:30,141.45,149.2,135,135
2026-04-30 12:20:00+05:30,134.9,148,131.85,146
2026-04-30 12:25:00+05:30,145.65,151.9,144.25,151
2026-04-30 12:30:00+05:30,151.55,152.95,139.25,147.45
2026-04-30 12:35:00+05:30,146.9,149.1,141.2,146.6
2026-04-30 12:40:00+05:30,146.15,149.55,141.15,145.55
2026-04-30 12:45:00+05:30,145.75,158.1,144.05,149.85
2026-04-30 12:50:00+05:30,148.9,155.6,146.05,155
2026-04-30 12:55:00+05:30,155.6,163,151.8,157.9
2026-04-30 13:00:00+05:30,157.95,161,149.9,150.05
2026-04-30 13:05:00+05:30,150.6,157.35,143.4,157.35
2026-04-30 13:10:00+05:30,158.15,163.35,154.25,159.65
2026-04-30 13:15:00+05:30,160.5,163,152,152.35
2026-04-30 13:20:00+05:30,152.05,174.35,151.8,170.4
2026-04-30 13:25:00+05:30,170.55,181.1,164,170.3
2026-04-30 13:30:00+05:30,170.75,177.85,165.45,174.65
2026-04-30 13:35:00+05:30,174.45,186.9,173.9,174.9
2026-04-30 13:40:00+05:30,175.35,212,174.9,209.1
2026-04-30 13:45:00+05:30,208.95,219.9,206.45,214
2026-04-30 13:50:00+05:30,214.7,215.25,196.35,209
2026-04-30 13:55:00+05:30,210.05,221,209.65,217.4
2026-04-30 14:00:00+05:30,217.05,219.6,207,211.25
2026-04-30 14:05:00+05:30,211.95,213.8,196.7,212.6
2026-04-30 14:10:00+05:30,213.85,215,197.15,199.35
2026-04-30 14:15:00+05:30,199.85,203.8,183.45,183.45
2026-04-30 14:20:00+05:30,184.05,197.6,182.85,194.5
2026-04-30 14:25:00+05:30,194.15,196.95,181.35,189.35
2026-04-30 14:30:00+05:30,189.35,209.15,189.35,207.8
2026-04-30 14:35:00+05:30,208.2,226.55,206.8,225.45
2026-04-30 14:40:00+05:30,223.6,240.65,219.4,234.85
2026-04-30 14:45:00+05:30,232.5,236.9,206.1,206.1
2026-04-30 14:50:00+05:30,204.95,208,197.6,199.85
2026-04-30 14:55:00+05:30,199.1,220.9,198.25,218.95
2026-04-30 15:00:00+05:30,219.3,219.3,200.1,203.75
2026-04-30 15:05:00+05:30,204.4,205.95,192.55,196.05
2026-04-30 15:10:00+05:30,196.55,201.7,189.5,200.4
2026-04-30 15:15:00+05:30,197.85,216.3,195.25,210
2026-04-30 15:20:00+05:30,208.45,213.8,200,212.85
2026-04-30 15:25:00+05:30,212.5,224.9,212.5,222.2
