date,open,high,low,close
2026-06-15 09:15:00+05:30,70.5,96.95,59.9,85.45
2026-06-15 09:20:00+05:30,85.45,86.0,79.2,82.05
2026-06-15 09:25:00+05:30,82.05,89.8,80.55,87.75
2026-06-15 09:30:00+05:30,87.75,93.9,84.7,87.45
2026-06-15 09:35:00+05:30,86.8,93.2,86.0,89.45
2026-06-15 09:40:00+05:30,89.45,89.45,74.75,75.3
2026-06-15 09:45:00+05:30,75.3,78.55,72.8,77.6
2026-06-15 09:50:00+05:30,77.6,83.1,76.0,82.2
2026-06-15 09:55:00+05:30,82.2,86.8,80.65,84.2
2026-06-15 10:00:00+05:30,84.2,84.65,73.15,80.1
2026-06-15 10:05:00+05:30,80.1,89.0,79.2,86.85
2026-06-15 10:10:00+05:30,86.85,91.0,83.1,84.45
2026-06-15 10:15:00+05:30,84.45,89.85,83.3,86.75
2026-06-15 10:20:00+05:30,86.75,88.75,79.25,82.55
2026-06-15 10:25:00+05:30,82.55,86.45,73.6,75.1
2026-06-15 10:30:00+05:30,75.1,75.1,70.3,72.75
2026-06-15 10:35:00+05:30,72.75,74.3,71.05,73.0
2026-06-15 10:40:00+05:30,72.7,73.75,68.8,70.85
2026-06-15 10:45:00+05:30,70.85,71.75,64.25,64.3
2026-06-15 10:50:00+05:30,64.3,65.0,58.75,62.7
2026-06-15 10:55:00+05:30,62.7,63.2,61.35,62.45
2026-06-15 11:00:00+05:30,62.45,70.55,61.8,67.15
2026-06-15 11:05:00+05:30,67.15,69.7,64.9,66.95
2026-06-15 11:10:00+05:30,67.1,69.6,65.4,69.6
2026-06-15 11:15:00+05:30,69.6,70.1,66.9,67.55
2026-06-15 11:20:00+05:30,67.55,71.0,66.3,70.3
2026-06-15 11:25:00+05:30,70.3,70.3,62.5,65.7
2026-06-15 11:30:00+05:30,65.7,71.3,63.7,68.8
2026-06-15 11:35:00+05:30,68.9,71.85,67.9,69.75
2026-06-15 11:40:00+05:30,69.75,71.9,67.3,71.65
2026-06-15 11:45:00+05:30,71.65,74.45,67.2,69.1
2026-06-15 11:50:00+05:30,69.05,71.25,64.0,66.05
2026-06-15 11:55:00+05:30,66.05,70.75,65.0,68.25
2026-06-15 12:00:00+05:30,68.25,73.5,67.3,73.35
2026-06-15 12:05:00+05:30,73.3,79.2,73.05,78.85
2026-06-15 12:10:00+05:30,78.85,81.85,74.55,80.7
2026-06-15 12:15:00+05:30,80.7,94.35,80.2,94.3
2026-06-15 12:20:00+05:30,94.3,95.4,87.9,89.55
2026-06-15 12:25:00+05:30,89.55,102.95,88.9,99.55
2026-06-15 12:30:00+05:30,99.85,104.0,89.05,91.3
2026-06-15 12:35:00+05:30,91.3,95.35,83.5,93.4
2026-06-15 12:40:00+05:30,93.4,98.5,85.3,86.45
2026-06-15 12:45:00+05:30,86.45,96.75,86.4,96.1
2026-06-15 12:50:00+05:30,96.1,98.0,89.4,92.95
2026-06-15 12:55:00+05:30,92.95,93.25,87.0,90.5
2026-06-15 13:00:00+05:30,90.5,98.7,90.5,94.85
2026-06-15 13:05:00+05:30,94.85,97.0,78.2,79.05
2026-06-15 13:10:00+05:30,79.05,85.85,65.15,85.6
2026-06-15 13:15:00+05:30,85.6,95.9,81.85,93.75
2026-06-15 13:20:00+05:30,93.75,95.2,80.0,84.8
2026-06-15 13:25:00+05:30,84.8,90.7,82.2,88.2
2026-06-15 13:30:00+05:30,87.6,93.8,84.75,87.9
2026-06-15 13:35:00+05:30,87.9,94.45,84.65,90.05
2026-06-15 13:40:00+05:30,90.05,103.5,85.1,92.95
2026-06-15 13:45:00+05:30,92.95,95.0,85.1,92.0
2026-06-15 13:50:00+05:30,92.0,109.0,89.05,94.15
2026-06-15 13:55:00+05:30,94.75,96.6,77.0,80.2
2026-06-15 14:00:00+05:30,80.2,85.9,74.7,85.75
2026-06-15 14:05:00+05:30,85.75,90.55,82.8,87.6
2026-06-15 14:10:00+05:30,87.6,91.95,84.4,89.45
2026-06-15 14:15:00+05:30,89.45,90.9,79.25,83.95
2026-06-15 14:20:00+05:30,83.25,87.3,74.95,77.1
2026-06-15 14:25:00+05:30,77.0,81.15,73.25,79.95
2026-06-15 14:30:00+05:30,79.95,79.95,65.1,67.05
2026-06-15 14:35:00+05:30,67.05,71.25,60.25,70.35
2026-06-15 14:40:00+05:30,70.35,75.25,68.25,73.35
2026-06-15 14:45:00+05:30,73.35,75.9,66.75,73.8
2026-06-15 14:50:00+05:30,73.8,89.35,72.45,85.15
2026-06-15 14:55:00+05:30,85.25,95.4,82.7,89.65
2026-06-15 15:00:00+05:30,89.65,105.4,77.9,90.9
2026-06-15 15:05:00+05:30,90.9,105.85,90.9,101.95
2026-06-15 15:10:00+05:30,101.95,128.45,100.7,113.4
2026-06-15 15:15:00+05:30,113.25,113.25,86.5,91.9
2026-06-15 15:20:00+05:30,92.0,99.0,88.8,94.9
2026-06-15 15:25:00+05:30,94.9,100.55,91.45,91.45
2026-06-16 09:15:00+05:30,57.0,69.95,38.2,40.1
2026-06-16 09:20:00+05:30,40.1,47.15,37.05,46.1
2026-06-16 09:25:00+05:30,46.1,46.1,34.8,35.2
2026-06-16 09:30:00+05:30,35.2,38.25,30.0,34.1
2026-06-16 09:35:00+05:30,34.1,38.3,31.5,36.65
2026-06-16 09:40:00+05:30,36.65,43.25,35.45,42.55
2026-06-16 09:45:00+05:30,42.55,42.7,32.1,35.1
2026-06-16 09:50:00+05:30,35.1,41.95,30.45,32.6
2026-06-16 09:55:00+05:30,32.6,35.15,30.95,32.0
2026-06-16 10:00:00+05:30,32.0,44.5,27.5,42.05
2026-06-16 10:05:00+05:30,42.05,49.5,35.15,45.65
2026-06-16 10:10:00+05:30,45.65,47.95,41.0,43.0
2026-06-16 10:15:00+05:30,43.0,43.15,32.65,33.75
2026-06-16 10:20:00+05:30,33.75,34.45,24.15,28.95
2026-06-16 10:25:00+05:30,28.95,31.5,25.95,27.3
2026-06-16 10:30:00+05:30,27.3,27.5,23.5,25.25
2026-06-16 10:35:00+05:30,25.0,26.1,19.0,21.55
2026-06-16 10:40:00+05:30,21.55,22.8,19.75,20.6
2026-06-16 10:45:00+05:30,20.8,21.15,16.55,17.0
2026-06-16 10:50:00+05:30,17.1,18.9,16.45,18.15
2026-06-16 10:55:00+05:30,18.15,19.6,16.6,19.3
2026-06-16 11:00:00+05:30,19.25,23.25,18.5,23.15
2026-06-16 11:05:00+05:30,23.15,24.5,19.5,23.7
2026-06-16 11:10:00+05:30,23.7,26.85,21.85,21.85
2026-06-16 11:15:00+05:30,21.85,29.65,19.1,28.45
2026-06-16 11:20:00+05:30,28.35,30.2,19.7,19.9
2026-06-16 11:25:00+05:30,19.9,27.65,18.7,25.5
2026-06-16 11:30:00+05:30,25.5,28.5,21.5,21.65
2026-06-16 11:35:00+05:30,21.65,30.6,21.65,26.8
2026-06-16 11:40:00+05:30,26.95,30.75,23.55,26.8
2026-06-16 11:45:00+05:30,26.8,28.3,22.2,23.45
2026-06-16 11:50:00+05:30,23.35,24.4,18.95,23.15
2026-06-16 11:55:00+05:30,23.15,28.75,19.9,21.0
2026-06-16 12:00:00+05:30,21.0,28.75,19.7,24.25
2026-06-16 12:05:00+05:30,24.25,25.7,20.3,21.4
2026-06-16 12:10:00+05:30,21.4,23.25,20.4,23.1
2026-06-16 12:15:00+05:30,23.1,28.5,23.0,27.9
2026-06-16 12:20:00+05:30,27.8,36.15,24.65,25.25
