date,symbol,side,entry_time,entry_price,entry_candle_high,entry_candle_low,entry_candle_range,reason
2026-02-02,NIFTY_2026-02-02_24800CE,CE,2026-02-02 12:50:00,171.8,182.6,166.45,16.150000000000006,entry_candle_range_gt_15
2026-02-02,NIFTY_2026-02-02_24800CE,CE,2026-02-02 13:35:00,174.5,179.2,150.2,29.0,entry_candle_range_gt_15
2026-02-04,NIFTY_2026-02-04_25700CE,CE,2026-02-04 10:30:00,190.35,206.45,187.65,18.799999999999983,entry_candle_range_gt_15
2026-02-05,NIFTY_2026-02-05_25750PE,PE,2026-02-05 09:30:00,167.05,168.25,150.0,18.25,entry_candle_range_gt_15
2026-02-05,NIFTY_2026-02-05_25750PE,PE,2026-02-05 09:35:00,172.25,182.5,158.0,24.5,entry_candle_range_gt_15
2026-02-05,NIFTY_2026-02-05_25750PE,PE,2026-02-05 15:05:00,180.45,183.75,164.75,19.0,entry_candle_range_gt_15
2026-02-06,NIFTY_2026-02-06_25600CE,CE,2026-02-06 11:45:00,135.55,140.1,122.3,17.799999999999997,entry_candle_range_gt_15
2026-02-11,NIFTY_2026-02-11_26000PE,PE,2026-02-11 09:50:00,132.2,146.75,129.15,17.599999999999994,entry_candle_range_gt_15
2026-02-23,NIFTY_2026-02-23_25700CE,CE,2026-02-23 10:10:00,112.85,122.75,105.25,17.5,entry_candle_range_gt_15
2026-02-23,NIFTY_2026-02-23_25700PE,PE,2026-02-23 12:20:00,117.1,118.75,103.0,15.75,entry_candle_range_gt_15
