date,open,high,low,close
2026-01-05 09:15:00+05:30,177.75,196.75,147.85,163.5
2026-01-05 09:20:00+05:30,162.0,163.65,130.85,131.4
2026-01-05 09:25:00+05:30,132.4,146.45,120.6,127.65
2026-01-05 09:30:00+05:30,128.35,128.45,108.0,111.45
2026-01-05 09:35:00+05:30,111.3,115.85,105.6,112.2
2026-01-05 09:40:00+05:30,112.4,124.55,107.05,112.2
2026-01-05 09:45:00+05:30,111.5,131.4,108.8,130.35
2026-01-05 09:50:00+05:30,130.8,138.0,114.0,133.2
2026-01-05 09:55:00+05:30,132.65,149.6,130.7,144.45
2026-01-05 10:00:00+05:30,144.25,148.5,122.8,123.2
2026-01-05 10:05:00+05:30,122.0,161.7,119.35,160.15
2026-01-05 10:10:00+05:30,159.35,165.1,154.15,163.5
2026-01-05 10:15:00+05:30,164.7,184.95,160.75,179.0
2026-01-05 10:20:00+05:30,179.55,196.8,174.1,193.55
2026-01-05 10:25:00+05:30,193.55,194.3,176.1,179.35
2026-01-05 10:30:00+05:30,178.3,183.9,172.95,177.85
2026-01-05 10:35:00+05:30,177.1,184.75,173.9,182.6
2026-01-05 10:40:00+05:30,183.35,183.45,157.5,171.0
2026-01-05 10:45:00+05:30,171.4,180.15,165.7,174.65
2026-01-05 10:50:00+05:30,174.45,183.1,174.15,176.0
2026-01-05 10:55:00+05:30,176.2,181.7,169.4,169.65
2026-01-05 11:00:00+05:30,169.65,186.85,167.15,182.2
2026-01-05 11:05:00+05:30,182.8,184.0,168.8,171.0
2026-01-05 11:10:00+05:30,171.3,179.85,167.45,179.05
2026-01-05 11:15:00+05:30,179.25,180.25,166.15,167.0
2026-01-05 11:20:00+05:30,166.5,168.35,140.5,140.5
2026-01-05 11:25:00+05:30,141.15,152.5,136.35,149.45
2026-01-05 11:30:00+05:30,148.7,154.8,138.6,139.5
2026-01-05 11:35:00+05:30,141.1,147.65,136.35,144.85
2026-01-05 11:40:00+05:30,145.2,160.5,144.95,157.3
2026-01-05 11:45:00+05:30,157.65,160.9,148.45,156.9
2026-01-05 11:50:00+05:30,156.7,160.55,143.4,143.7
2026-01-05 11:55:00+05:30,143.85,155.4,143.35,148.95
2026-01-05 12:00:00+05:30,149.0,151.65,132.4,138.6
2026-01-05 12:05:00+05:30,137.8,145.5,133.7,140.55
2026-01-05 12:10:00+05:30,140.6,151.0,138.0,151.0
2026-01-05 12:15:00+05:30,151.45,156.7,148.45,154.15
2026-01-05 12:20:00+05:30,154.3,158.25,148.95,154.75
2026-01-05 12:25:00+05:30,153.8,155.3,148.4,153.55
2026-01-05 12:30:00+05:30,152.85,158.0,148.4,150.3
2026-01-05 12:35:00+05:30,150.1,159.2,149.75,150.35
2026-01-05 12:40:00+05:30,150.0,154.2,144.55,148.7
2026-01-05 12:45:00+05:30,148.05,150.8,143.55,150.8
2026-01-05 12:50:00+05:30,151.5,167.3,151.0,157.3
2026-01-05 12:55:00+05:30,157.7,160.0,144.05,146.85
2026-01-05 13:00:00+05:30,145.95,148.7,139.45,141.55
2026-01-05 13:05:00+05:30,142.45,143.0,134.55,135.4
2026-01-05 13:10:00+05:30,134.55,136.1,125.0,125.6
2026-01-05 13:15:00+05:30,122.2,122.55,114.45,120.6
2026-01-05 13:20:00+05:30,120.25,125.55,115.3,124.7
2026-01-05 13:25:00+05:30,125.25,127.8,108.85,114.9
2026-01-05 13:30:00+05:30,116.0,116.0,108.45,110.65
2026-01-05 13:35:00+05:30,109.2,111.55,104.0,106.0
2026-01-05 13:40:00+05:30,105.85,116.7,102.1,116.15
2026-01-05 13:45:00+05:30,115.95,115.95,92.45,92.85
2026-01-05 13:50:00+05:30,90.95,92.0,81.85,83.25
2026-01-05 13:55:00+05:30,83.45,86.75,76.05,76.25
2026-01-05 14:00:00+05:30,77.05,78.15,60.0,62.25
2026-01-05 14:05:00+05:30,61.95,63.0,53.7,62.0
2026-01-05 14:10:00+05:30,61.45,63.85,59.4,61.0
2026-01-05 14:15:00+05:30,60.6,64.6,58.5,59.05
2026-01-05 14:20:00+05:30,58.75,64.8,54.6,63.65
2026-01-05 14:25:00+05:30,63.6,65.75,59.3,60.1
2026-01-05 14:30:00+05:30,60.55,67.65,60.45,67.05
2026-01-05 14:35:00+05:30,67.15,68.2,59.4,60.95
2026-01-05 14:40:00+05:30,61.6,73.65,60.95,71.85
2026-01-05 14:45:00+05:30,73.4,75.7,69.3,71.2
2026-01-05 14:50:00+05:30,71.95,83.55,68.95,77.75
2026-01-05 14:55:00+05:30,77.5,83.65,75.2,82.3
2026-01-05 15:00:00+05:30,79.5,81.0,69.25,72.8
2026-01-05 15:05:00+05:30,71.15,71.7,61.6,63.5
2026-01-05 15:10:00+05:30,63.75,65.1,58.1,63.55
2026-01-05 15:15:00+05:30,63.2,63.2,58.55,61.4
2026-01-05 15:20:00+05:30,61.5,61.65,55.65,58.05
2026-01-05 15:25:00+05:30,59.1,62.0,58.45,59.0
2026-01-06 09:15:00+05:30,48.0,88.0,45.0,49.35
2026-01-06 09:20:00+05:30,47.65,51.75,42.15,45.1
2026-01-06 09:25:00+05:30,45.3,45.3,31.4,32.45
