datetime,open,high,low,close,volume
2026-01-01T09:15:00+0530,26173.3,26195.35,26149.25,26187.2,0
2026-01-01T09:30:00+0530,26184,26188.95,26162.75,26181.55,0
2026-01-01T09:45:00+0530,26178.25,26197.55,26153.5,26157.2,0
2026-01-01T10:00:00+0530,26157.45,26179.1,26147,26151.15,0
2026-01-01T10:15:00+0530,26151.65,26159.75,26117.7,26157.35,0
2026-01-01T10:30:00+0530,26158.7,26173.5,26147.6,26161.35,0
2026-01-01T10:45:00+0530,26161.1,26185.6,26160.95,26170.95,0
2026-01-01T11:00:00+0530,26171.05,26180.65,26157.45,26170.5,0
2026-01-01T11:15:00+0530,26170.5,26177.75,26158.5,26165.8,0
2026-01-01T11:30:00+0530,26165.75,26173.85,26142.6,26144.85,0
2026-01-01T11:45:00+0530,26144.1,26154.1,26133.4,26151.3,0
2026-01-01T12:00:00+0530,26151.15,26158.2,26123.95,26125,0
2026-01-01T12:15:00+0530,26124.35,26155.9,26113.4,26150.6,0
2026-01-01T12:30:00+0530,26150.15,26155.35,26126.85,26142.3,0
2026-01-01T12:45:00+0530,26141.6,26162.55,26140.5,26151.6,0
2026-01-01T13:00:00+0530,26152.45,26158.7,26144.35,26151.45,0
2026-01-01T13:15:00+0530,26150.8,26167.95,26129.7,26154.45,0
2026-01-01T13:30:00+0530,26155.35,26161.35,26137.95,26146.8,0
2026-01-01T13:45:00+0530,26146.1,26163.2,26139.25,26157.4,0
2026-01-01T14:00:00+0530,26157.1,26176.2,26153.2,26168,0
2026-01-01T14:15:00+0530,26166.85,26178,26151.9,26152.4,0
2026-01-01T14:30:00+0530,26152.15,26166.35,26149.3,26159.65,0
2026-01-01T14:45:00+0530,26160.35,26165.8,26150.9,26160.4,0
2026-01-01T15:00:00+0530,26163.2,26168.6,26135.95,26142.85,0
2026-01-01T15:15:00+0530,26142.55,26146.2,26126.8,26140.25,0
2026-01-02T09:15:00+0530,26155.1,26210.4,26118.4,26208.1,0
