trade_date,strike,side,entry_time,entry_price,exit_time,exit_price,pnl,exit_reason,pivot,mfe,mae,plus20_hit,plus40_hit,loss_count_after_trade,daily_pnl_after_trade
2026-06-01,23650,PE,2026-06-01 10:00:00,149.45,2026-06-01 10:05:00,132.95,-16.5,stop,135.125,0.6000000000000227,-17.75,False,False,1,-16.5
2026-06-01,23650,PE,2026-06-01 10:10:00,143.3,2026-06-01 10:45:00,128.9,-14.400000000000006,stop,135.125,21.69999999999999,-19.200000000000017,True,False,2,-30.900000000000006
2026-06-01,23650,PE,2026-06-01 11:30:00,140.5,2026-06-01 12:10:00,157.45,16.94999999999999,stop,135.125,46.650000000000006,-16.099999999999994,True,True,2,-13.950000000000017
2026-06-01,23650,PE,2026-06-01 12:45:00,149.05,2026-06-01 13:25:00,185.4,36.349999999999994,stop,135.125,65.29999999999998,-2.1000000000000227,True,True,2,22.399999999999977
2026-06-03,23400,CE,2026-06-03 12:45:00,176.9,2026-06-03 12:50:00,159.5,-17.400000000000006,stop,170.1,6.849999999999994,-19.55000000000001,False,False,1,-17.400000000000006
2026-06-03,23400,CE,2026-06-03 13:00:00,170.55,2026-06-03 15:05:00,237.8,67.25,stop,170.1,129.39999999999998,-9.450000000000017,True,True,1,49.849999999999994
2026-06-04,23300,CE,2026-06-04 09:35:00,213.8,2026-06-04 10:30:00,248.0,34.19999999999999,stop,200.15,77.59999999999997,-10.5,True,True,0,34.19999999999999
2026-06-04,23300,CE,2026-06-04 13:20:00,208.7,2026-06-04 14:50:00,241.05,32.35000000000002,stop,200.15,77.80000000000001,-9.899999999999977,True,True,0,66.55000000000001
2026-06-05,23500,CE,2026-06-05 09:20:00,155.7,2026-06-05 10:25:00,152.6,-3.0999999999999943,stop,140.625,29.30000000000001,-14.899999999999977,True,False,1,-3.0999999999999943
2026-06-05,23500,CE,2026-06-05 11:00:00,145.15,2026-06-05 11:15:00,135.75,-9.400000000000006,stop,140.625,25.150000000000006,-14.200000000000017,True,False,2,-12.5
2026-06-05,23500,PE,2026-06-05 12:10:00,153.15,2026-06-05 13:55:00,227.35,74.19999999999999,stop,140.625,118.95000000000002,-8.050000000000011,True,True,2,61.69999999999999
2026-06-08,23100,CE,2026-06-08 09:20:00,153.9,2026-06-08 09:45:00,152.15,-1.75,stop,138.425,31.5,-3.5999999999999943,True,False,1,-1.75
2026-06-08,23100,CE,2026-06-08 13:40:00,157.9,2026-06-08 14:10:00,140.3,-17.599999999999994,stop,138.425,6.650000000000006,-18.400000000000006,False,False,2,-19.349999999999994
2026-06-08,23100,CE,2026-06-08 14:15:00,146.85,2026-06-08 15:00:00,110.95,-35.89999999999999,stop,138.425,17.900000000000006,-41.64999999999999,False,False,3,-55.249999999999986
2026-06-09,23250,PE,2026-06-09 10:40:00,100.75,2026-06-09 11:35:00,110.65,9.900000000000006,stop,82.525,47.55000000000001,-2.9000000000000057,True,True,0,9.900000000000006
2026-06-10,23250,CE,2026-06-10 14:10:00,208.8,2026-06-10 14:35:00,189.95,-18.850000000000023,stop,189.85,10.199999999999989,-22.80000000000001,False,False,1,-18.850000000000023
2026-06-10,23250,PE,2026-06-10 15:10:00,191.0,2026-06-10 15:25:00,187.7,-3.3000000000000114,end_of_day,189.85,3.0,-14.75,False,False,2,-22.150000000000034
2026-06-11,23100,CE,2026-06-11 09:20:00,177.4,2026-06-11 09:55:00,168.75,-8.650000000000006,stop,175.5,25.099999999999994,-15.200000000000017,True,False,1,-8.650000000000006
2026-06-11,23100,CE,2026-06-11 10:05:00,189.35,2026-06-11 12:45:00,272.1,82.75000000000003,stop,175.5,118.54999999999998,-6.349999999999994,True,True,1,74.10000000000002
2026-06-11,23100,CE,2026-06-11 14:50:00,190.6,2026-06-11 15:25:00,208.8,18.200000000000017,end_of_day,175.5,18.700000000000017,-20.25,False,False,1,92.30000000000004
2026-06-12,23400,CE,2026-06-12 09:20:00,154.0,2026-06-12 09:40:00,130.8,-23.19999999999999,stop,143.5,4.949999999999989,-27.049999999999997,False,False,1,-23.19999999999999
2026-06-12,23400,PE,2026-06-12 09:45:00,144.3,2026-06-12 11:10:00,143.75,-0.5500000000000114,stop,143.5,26.549999999999983,-1.200000000000017,True,False,2,-23.75
2026-06-12,23400,PE,2026-06-12 11:15:00,154.3,2026-06-12 13:25:00,123.8,-30.500000000000014,stop,143.5,28.94999999999999,-50.60000000000001,True,False,3,-54.250000000000014
