date,open,high,low,close
2026-02-12 09:15:00+05:30,392.05,399.7,360.45,363.65
2026-02-12 09:20:00+05:30,361.0,366.7,346.0,349.8
2026-02-12 09:25:00+05:30,349.8,357.65,345.0,349.05
2026-02-12 09:30:00+05:30,349.05,351.05,338.25,349.55
2026-02-12 09:35:00+05:30,349.55,355.1,344.25,352.05
2026-02-12 09:40:00+05:30,352.45,353.0,339.0,350.25
2026-02-12 09:45:00+05:30,350.25,362.0,339.65,358.35
2026-02-12 09:50:00+05:30,360.55,362.8,353.2,359.65
2026-02-12 09:55:00+05:30,359.65,368.0,357.9,366.95
2026-02-12 10:00:00+05:30,366.95,373.45,360.8,369.45
2026-02-12 10:05:00+05:30,369.45,371.3,354.25,364.2
2026-02-12 10:10:00+05:30,365.05,377.55,357.5,376.5
2026-02-12 10:15:00+05:30,379.85,380.0,367.6,374.3
2026-02-12 10:20:00+05:30,374.3,380.1,374.3,377.05
2026-02-12 10:25:00+05:30,377.05,377.05,365.0,370.5
2026-02-12 10:30:00+05:30,373.0,373.1,365.35,373.1
2026-02-12 10:35:00+05:30,373.1,374.95,352.65,358.5
2026-02-12 10:40:00+05:30,359.5,359.6,353.6,354.65
2026-02-12 10:45:00+05:30,354.65,360.25,352.75,352.75
2026-02-12 10:50:00+05:30,352.75,356.0,350.25,354.0
2026-02-12 10:55:00+05:30,354.0,359.1,353.05,353.7
2026-02-12 11:00:00+05:30,353.7,359.75,353.35,354.3
2026-02-12 11:05:00+05:30,355.3,358.05,347.6,354.85
2026-02-12 11:10:00+05:30,357.85,358.0,351.65,351.65
2026-02-12 11:15:00+05:30,351.65,351.65,343.0,344.35
2026-02-12 11:20:00+05:30,344.35,347.2,334.8,341.55
2026-02-12 11:25:00+05:30,341.55,345.15,339.75,342.65
2026-02-12 11:30:00+05:30,342.65,342.65,328.05,331.9
2026-02-12 11:35:00+05:30,331.9,335.5,329.55,333.45
2026-02-12 11:40:00+05:30,333.45,339.15,332.55,338.75
2026-02-12 11:45:00+05:30,338.75,339.75,335.5,337.7
2026-02-12 11:50:00+05:30,337.7,337.7,324.0,327.9
2026-02-12 11:55:00+05:30,328.85,335.1,326.0,334.15
2026-02-12 12:00:00+05:30,334.15,335.0,325.0,325.7
