month,trade_date,strike,side,entry_time,entry_price,exit_time,exit_price,pnl,exit_reason,pivot,mfe,mae,plus20_hit,plus40_hit,loss_count_after_trade,daily_pnl_after_trade,entry_ema20,entry_above_ema20,distance_from_ema20,previous_candle_touched_ema20,current_candle_touched_ema20,entry_candle_color,entry_near_ema20_5pts,entry_near_ema20_10pts,entry_near_ema20_15pts
Apr,2026-04-01,22900,PE,2026-04-01 11:10:00,359.6,2026-04-01 11:30:00,338.25,-21.350000000000023,stop,350.70000000000005,9.399999999999977,-29.150000000000034,False,False,1,-21.350000000000023,369.7940860334511,False,-10.194086033451072,True,False,red,False,False,True
Apr,2026-04-01,22900,PE,2026-04-01 11:50:00,365.5,2026-04-01 11:55:00,349.85,-15.649999999999977,stop,350.70000000000005,1.4499999999999886,-19.69999999999999,False,False,2,-37.0,358.1985242575323,True,7.301475742467687,True,True,green,False,True,True
Apr,2026-04-02,22400,CE,2026-04-02 12:40:00,280.0,2026-04-02 12:50:00,253.95,-26.05000000000001,stop,270.0,4.050000000000011,-27.099999999999994,False,False,1,-26.05000000000001,239.51402089658694,True,40.48597910341306,False,False,green,False,False,False
Apr,2026-04-06,22800,CE,2026-04-06 14:25:00,250.45,2026-04-06 15:25:00,281.4,30.94999999999999,end_of_day,245.8,59.400000000000034,-12.349999999999994,True,True,0,30.94999999999999,231.09164544245922,True,19.358354557540764,False,False,red,False,False,False
Apr,2026-04-07,22850,CE,2026-04-07 11:25:00,131.25,2026-04-07 11:40:00,114.8,-16.450000000000003,stop,123.65,15.650000000000006,-22.150000000000006,False,False,1,-16.450000000000003,119.85727137850077,True,11.39272862149923,True,True,green,False,False,True
Apr,2026-04-07,22850,CE,2026-04-07 12:35:00,126.75,2026-04-07 12:55:00,96.5,-30.25,stop,123.65,4.449999999999989,-32.900000000000006,False,False,2,-46.7,122.39715249492056,True,4.352847505079438,True,True,green,True,True,True
Apr,2026-04-08,23850,CE,2026-04-08 10:15:00,259.0,2026-04-08 11:35:00,283.2,24.19999999999999,stop,250.025,54.5,-12.400000000000006,True,True,0,24.19999999999999,206.89170332088642,True,52.10829667911358,False,False,green,False,False,False
Apr,2026-04-09,23900,PE,2026-04-09 12:55:00,226.8,2026-04-09 14:00:00,252.9,26.099999999999994,stop,223.0,60.19999999999999,-6.600000000000023,True,True,0,26.099999999999994,213.39536414705876,True,13.404635852941254,False,False,green,False,False,True
Apr,2026-04-10,23900,CE,2026-04-10 09:30:00,183.3,2026-04-10 10:50:00,204.85,21.549999999999983,stop,179.95,48.69999999999999,-8.950000000000017,True,True,0,21.549999999999983,156.851673949797,True,26.448326050203008,False,False,red,False,False,False
Apr,2026-04-10,23900,CE,2026-04-10 14:30:00,180.75,2026-04-10 15:25:00,230.5,49.75,end_of_day,179.95,73.55000000000001,-10.650000000000006,True,True,0,71.29999999999998,205.4082139690018,False,-24.658213969001793,False,False,green,False,False,False
