month,trade_date,trades,wins,losses,gross_pnl,day_pnl
Apr,2026-04-01,2,0,2,-37.0,-37.0
Apr,2026-04-02,1,0,1,-26.05000000000001,-26.05000000000001
Apr,2026-04-06,1,1,0,30.94999999999999,30.94999999999999
Apr,2026-04-07,2,0,2,-46.7,-46.7
Apr,2026-04-08,1,1,0,24.19999999999999,24.19999999999999
Apr,2026-04-09,1,1,0,26.099999999999994,26.099999999999994
Apr,2026-04-10,2,2,0,71.29999999999998,71.29999999999998
Apr,2026-04-13,1,1,0,67.85,67.85
Apr,2026-04-15,3,1,2,0.8500000000000227,0.8500000000000227
Apr,2026-04-20,3,1,2,-27.94999999999999,-27.94999999999999
Apr,2026-04-22,4,1,3,-27.900000000000006,-27.900000000000006
Apr,2026-04-23,1,0,1,-22.44999999999999,-22.44999999999999
Apr,2026-04-27,3,1,2,-20.44999999999999,-20.44999999999999
