trade_date,strike,side,entry_time,entry_price,exit_time,exit_price,pnl,exit_reason,pivot,mfe,mae,plus20_hit,plus40_hit,loss_count_after_trade,daily_pnl_after_trade,entry_ema20,entry_above_ema20,distance_from_ema20,previous_candle_touched_ema20,current_candle_touched_ema20,entry_candle_color,entry_near_ema20_5pts,entry_near_ema20_10pts,entry_near_ema20_15pts
2026-03-04,24400,PE,2026-03-04 14:40:00,253.3,2026-03-04 15:25:00,273.0,19.69999999999999,end_of_day,249.925,35.69999999999999,-3.6000000000000227,True,False,0,19.69999999999999,271.01706782783185,False,-17.71706782783184,False,False,red,False,False,False
2026-03-06,24650,PE,2026-03-06 09:30:00,215.1,2026-03-06 11:00:00,214.85,-0.25,stop,214.0,34.900000000000006,-21.400000000000006,True,False,1,-0.25,202.68883841863556,True,12.41116158136444,False,False,green,False,False,True
2026-03-06,24650,PE,2026-03-06 11:40:00,222.0,2026-03-06 14:15:00,230.3,8.300000000000011,stop,214.0,54.10000000000002,-11.25,True,True,1,8.050000000000011,220.2391811941507,True,1.7608188058493113,True,True,green,True,True,True
2026-03-09,23850,CE,2026-03-09 10:50:00,220.55,2026-03-09 11:00:00,210.55,-10.0,stop,202.425,30.899999999999977,-15.650000000000006,True,False,1,-10.0,259.1473158185272,False,-38.59731581852719,False,False,green,False,False,False
2026-03-09,23850,PE,2026-03-09 11:10:00,206.65,2026-03-09 11:25:00,184.2,-22.450000000000017,stop,202.425,18.150000000000006,-29.05000000000001,False,False,2,-32.45000000000002,212.18989642737606,False,-5.53989642737605,False,True,green,False,True,True
2026-03-09,23850,CE,2026-03-09 12:10:00,203.9,2026-03-09 13:10:00,225.0,21.099999999999994,stop,202.425,47.900000000000006,-11.0,True,True,2,-11.350000000000023,226.82049357001938,False,-22.920493570019374,False,False,green,False,False,False
2026-03-10,24300,PE,2026-03-10 10:20:00,153.35,2026-03-10 10:30:00,129.2,-24.150000000000006,stop,134.5,13.900000000000006,-28.0,False,False,1,-24.150000000000006,227.96070439244343,False,-74.61070439244344,False,False,green,False,False,False
2026-03-10,24300,PE,2026-03-10 12:15:00,134.85,2026-03-10 12:45:00,123.2,-11.649999999999991,stop,134.5,37.0,-11.649999999999991,True,False,2,-35.8,127.97826892090022,True,6.871731079099774,True,False,red,False,True,True
2026-03-12,23650,PE,2026-03-12 09:25:00,283.5,2026-03-12 09:50:00,269.35,-14.149999999999977,stop,282.9,29.30000000000001,-14.449999999999989,True,False,1,-14.149999999999977,220.17230273708452,True,63.32769726291548,False,False,red,False,False,False
2026-03-12,23650,CE,2026-03-12 10:05:00,285.7,2026-03-12 10:15:00,269.55,-16.149999999999977,stop,282.9,8.050000000000011,-25.149999999999977,False,False,2,-30.299999999999955,348.9250354047991,False,-63.22503540479909,False,False,red,False,False,False
