month,trade_date,trades,wins,losses,gross_pnl,day_pnl
Mar,2026-03-04,1,1,0,19.69999999999999,19.69999999999999
Mar,2026-03-06,2,1,1,11.900000000000006,11.900000000000006
Mar,2026-03-09,2,1,1,11.25,11.25
Mar,2026-03-12,2,0,2,-43.650000000000006,-43.650000000000006
Mar,2026-03-13,1,1,0,100.14999999999998,100.14999999999998
Mar,2026-03-19,2,1,1,133.45000000000002,133.45000000000002
