trade_date,strike,side,entry_time,entry_price,exit_time,exit_price,pnl,exit_reason,pivot,mfe,mae,plus20_hit,plus40_hit,loss_count_after_trade,daily_pnl_after_trade,entry_ema20,entry_above_ema20,distance_from_ema20,previous_candle_touched_ema20,current_candle_touched_ema20,entry_candle_color,entry_near_ema20_5pts,entry_near_ema20_10pts,entry_near_ema20_15pts,entry_candle_high,entry_candle_low,entry_candle_range,anti_chase_pass
2026-06-01,23650,PE,2026-06-01 10:10:00,143.3,2026-06-01 10:45:00,143.3,0.0,cost_to_cost,135.125,21.69999999999999,-19.200000000000017,True,False,0,0.0,116.75832558021041,True,26.5416744197896,False,False,green,False,False,False,143.8,130.1,13.700000000000017,True
2026-06-01,23650,PE,2026-06-01 11:50:00,135.5,2026-06-01 12:10:00,170.45,34.94999999999999,tsl_candle_low,135.125,51.650000000000006,-0.5,True,True,0,34.94999999999999,127.36518218664114,True,8.134817813358865,False,False,green,False,True,True,139.45,129.6,9.849999999999994,True
2026-06-01,23650,PE,2026-06-01 12:50:00,153.3,2026-06-01 13:25:00,192.05,38.75,tsl_candle_low,135.125,61.04999999999998,-0.8000000000000114,True,True,0,73.69999999999999,151.89755598878114,True,1.4024440112188756,True,True,green,True,True,True,159.75,146.95,12.800000000000011,True
2026-06-02,23250,CE,2026-06-02 09:20:00,78.6,2026-06-02 09:25:00,74.6,-4.0,pivot_close_sl,75.975,13.0,-7.199999999999989,False,False,1,-4.0,198.4606329080819,False,-119.8606329080819,False,False,red,False,False,False,83.0,68.4,14.599999999999994,True
2026-06-03,23400,CE,2026-06-03 13:00:00,170.55,2026-06-03 13:05:00,166.0,-4.550000000000011,pivot_close_sl,170.1,2.0999999999999943,-7.25,False,False,1,-4.550000000000011,155.2626815436998,True,15.287318456300198,False,False,green,False,False,False,174.15,161.4,12.75,True
2026-06-04,23300,CE,2026-06-04 13:25:00,209.55,2026-06-04 14:50:00,256.7,47.14999999999998,tsl_candle_low,200.15,76.94999999999999,-10.75,True,True,0,47.14999999999998,235.78478821632936,False,-26.23478821632935,False,False,green,False,False,False,215.2,205.9,9.299999999999983,True
2026-06-05,23500,CE,2026-06-05 09:20:00,155.7,2026-06-05 10:25:00,155.7,0.0,cost_to_cost,140.625,29.30000000000001,-14.899999999999977,True,False,0,0.0,144.6138269247324,True,11.086173075267595,False,False,red,False,False,True,163.9,151.25,12.650000000000006,True
2026-06-05,23500,PE,2026-06-05 12:15:00,158.1,2026-06-05 13:55:00,236.2,78.1,tsl_candle_low,140.625,114.00000000000003,-13.0,True,True,0,78.1,166.2675581183601,False,-8.16755811836012,True,False,green,False,True,True,161.4,149.45,11.950000000000017,True
2026-06-08,23100,CE,2026-06-08 13:50:00,155.6,2026-06-08 14:20:00,138.1,-17.5,pivot_close_sl,138.425,8.050000000000011,-23.150000000000006,False,False,1,-17.5,186.0408635117151,False,-30.440863511715094,False,False,red,False,False,False,164.55,150.1,14.450000000000017,True
2026-06-09,23250,PE,2026-06-09 10:05:00,96.9,2026-06-09 11:35:00,124.8,27.89999999999999,tsl_candle_low,82.525,51.400000000000006,-7.900000000000006,True,True,0,27.89999999999999,104.40797918011097,False,-7.507979180110965,False,True,red,False,True,True,105.95,92.6,13.350000000000009,True
2026-06-09,23250,PE,2026-06-09 11:55:00,83.5,2026-06-09 12:00:00,79.35,-4.150000000000006,pivot_close_sl,82.525,0.9000000000000057,-14.849999999999994,False,False,1,23.749999999999986,106.55820233134041,False,-23.05820233134041,False,False,red,False,False,False,92.15,80.15,12.0,True
2026-06-11,23100,CE,2026-06-11 09:45:00,189.0,2026-06-11 09:55:00,168.75,-20.25,pivot_close_sl,175.5,13.5,-21.900000000000006,False,False,1,-20.25,229.7081488851688,False,-40.70814888516881,False,False,green,False,False,False,190.9,181.5,9.400000000000006,True
2026-06-12,23400,CE,2026-06-12 09:20:00,154.0,2026-06-12 09:35:00,142.0,-12.0,pivot_close_sl,143.5,4.949999999999989,-15.800000000000011,False,False,1,-12.0,87.17888687143773,True,66.82111312856227,False,False,red,False,False,False,167.6,154.0,13.599999999999994,True
2026-06-12,23400,PE,2026-06-12 09:40:00,146.65,2026-06-12 11:10:00,146.65,0.0,cost_to_cost,143.5,24.19999999999999,-5.150000000000006,True,False,1,-12.0,205.91676340055955,False,-59.26676340055954,False,False,green,False,False,False,149.15,136.35,12.800000000000011,True
2026-06-12,23400,PE,2026-06-12 11:15:00,154.3,2026-06-12 11:45:00,140.1,-14.200000000000017,pivot_close_sl,143.5,9.799999999999983,-18.5,False,False,2,-26.200000000000017,161.8395820713449,False,-7.539582071344881,False,False,green,False,True,True,155.55,141.45,14.100000000000023,True
2026-06-15,24000,PE,2026-06-15 10:30:00,122.6,2026-06-15 10:55:00,106.75,-15.849999999999994,pivot_close_sl,106.925,2.200000000000003,-21.19999999999999,False,False,1,-15.849999999999994,194.76464071638026,False,-72.16464071638026,False,False,red,False,False,False,126.05,119.6,6.450000000000003,True
2026-06-16,23900,CE,2026-06-16 09:25:00,72.05,2026-06-16 09:40:00,56.4,-15.649999999999999,pivot_close_sl,65.6,9.799999999999997,-15.899999999999999,False,False,1,-15.649999999999999,83.29532545671492,False,-11.245325456714923,False,False,green,False,False,True,72.6,58.25,14.349999999999994,True
2026-06-17,24050,PE,2026-06-17 09:30:00,181.0,2026-06-17 09:40:00,164.6,-16.400000000000006,pivot_close_sl,169.25,2.9000000000000057,-16.599999999999994,False,False,1,-16.400000000000006,200.31974378890214,False,-19.319743788902144,False,False,red,False,False,False,187.65,174.25,13.400000000000006,True
2026-06-17,24050,CE,2026-06-17 09:45:00,170.65,2026-06-17 10:00:00,159.05,-11.599999999999994,pivot_close_sl,169.25,5.150000000000006,-13.050000000000011,False,False,2,-28.0,141.97845542311353,True,28.671544576886475,False,False,green,False,False,False,173.0,164.05,8.949999999999989,True
2026-06-18,24050,CE,2026-06-18 09:20:00,150.15,2026-06-18 10:35:00,150.15,0.0,cost_to_cost,142.775,25.25,-17.400000000000006,True,False,0,0.0,154.33683728901119,False,-4.18683728901118,True,False,green,True,True,True,154.0,143.05,10.949999999999989,True
2026-06-18,24050,PE,2026-06-18 11:15:00,143.7,2026-06-18 11:20:00,141.45,-2.25,pivot_close_sl,142.775,8.900000000000006,-6.949999999999989,False,False,1,-2.25,121.4606521558542,True,22.239347844145783,False,False,green,False,False,False,144.65,130.7,13.950000000000017,True
2026-06-18,24050,CE,2026-06-18 12:30:00,161.3,2026-06-18 14:05:00,139.85,-21.450000000000017,pivot_close_sl,142.775,5.299999999999983,-23.30000000000001,False,False,2,-23.700000000000017,140.86829411413848,True,20.431705885861533,False,False,green,False,False,False,163.45,151.7,11.75,True
